,text,names,Date,FG,3P,FGA,PTS,Result,EFG,hashtag,tokens,stems,lemmas
0,It’s time!!! The journey starts tonight! DC let’s lock down “The Vault” #DCFamily #DeathRowDC https://t.co/hOWyOFYJmw,Bradley Beal,2017-10-18,6.0,1.0,17.0,25.0,W ,0.3823529411764705,"['DCFamily', 'DeathRowDC']",time ! ! ! journey starts tonight ! dc lets lock vault dcfamily deathrowdc ,time ! ! ! journey start tonight ! dc let lock vault dcfamili deathrowdc ,time ! ! ! journey start tonight ! dc let lock vault dcfamily deathrowdc 
1,Blessed to see another day!! 🙏🏽,Bradley Beal,2017-10-18,6.0,1.0,17.0,25.0,W ,0.3823529411764705,[],blessed see another day ! ! 🙏 ,bless see anoth day ! ! 🙏🏽 ,bless see another day ! ! 🙏 
2,Prayers up for Gordon Hayward !!! 🙏🏽,Bradley Beal,2017-10-18,6.0,1.0,17.0,25.0,W ,0.3823529411764705,[],prayers gordon hayward ! ! ! 🙏 ,prayer gordon hayward ! ! ! 🙏🏽 ,prayer gordon hayward ! ! ! 🙏 
3,The Vault was electric! We need that every night !! #DCfamily,Bradley Beal,2017-10-19,3.0,0.0,6.0,7.0,L,0.5,['DCfamily'],vault electric ! need every night ! ! dcfamily ,vault electr ! need everi night ! ! dcfamili ,vault electric ! need every night ! ! dcfamily 
4,Great team win tonight Wiz!!,Bradley Beal,2017-10-19,3.0,0.0,4.0,6.0,L,0.75,[],great team win tonight wiz ! ! ,great team win tonight wiz ! ! ,great team win tonight wiz ! ! 
5,Gamedayyy!!! 🙏🏽,Bradley Beal,2017-10-20,9.0,1.0,18.0,25.0,W ,0.5277777777777778,[],gamedayyy ! ! ! 🙏 ,gamedayyy ! ! ! 🙏🏽 ,gamedayyy ! ! ! 🙏 
6,"S/o my young bull @JericoleHellems for committing to NC State, they got a good one. It’s time to grind bro #wolfpack",Bradley Beal,2017-10-21,3.0,0.0,8.0,6.0,W,0.375,['wolfpack'],young bull committing nc state got good one . time grind bro wolfpack ,young bull commit nc state got good one . time grind bro wolfpack ,young bull commit nc state get good one . time grind bro wolfpack 
7,Another day to perform His will🙏🏽,Bradley Beal,2017-10-21,3.0,1.0,2.0,0.0,W,1.75,[],another day perform 🙏 ,anoth day perform will🙏🏽 ,another day perform 🙏 
8,"GREAT TEAM WIN!!! Once again The Vault was beyond electric! We love it, thank you! #DCFamily",Bradley Beal,2017-10-21,3.0,1.0,3.0,4.0,W,1.1666666666666667,['DCFamily'],great team win ! ! ! vault beyond electric ! love thank ! dcfamily ,great team win ! ! ! vault beyond electr ! love thank ! dcfamili ,great team win ! ! ! vault beyond electric ! love thank ! dcfamily 
9,😂😂 headset went flying https://t.co/SaDiTBn4py,Bradley Beal,2017-10-22,3.0,1.0,7.0,6.0,L,0.5,[],😂 😂 headset went flying ,😂😂 headset went fli ,😂 😂 headset go fly 
10,Happy Sunday! 🙏🏽,Bradley Beal,2017-10-22,3.0,0.0,2.0,2.0,L,1.5,[],happy sunday ! 🙏 ,happi sunday ! 🙏🏽 ,happy sunday ! 🙏 
11,Blessed to see another day! 🙏🏽,Bradley Beal,2017-10-23,8.0,1.0,17.0,20.0,W ,0.5,[],blessed see another day ! 🙏 ,bless see anoth day ! 🙏🏽 ,bless see another day ! 🙏 
12,Via https://t.co/8pTVWkykO3: @WashWizards grind out big win in Denver to start road trip strong. https://t.co/h399PGHOWj,Bradley Beal,2017-10-24,3.0,1.0,5.0,5.0,L,0.7,[],via grind big win denver start road trip strong . ,via grind big win denver start road trip strong . ,via grind big win denver start road trip strong . 
13,Late night showtime in Hollywood tonight! #DCFamily https://t.co/rvdgplD1Ln,Bradley Beal,2017-10-25,11.0,2.0,23.0,28.0,L ,0.5217391304347826,['DCFamily'],late night showtime hollywood tonight ! dcfamily ,late night showtim hollywood tonight ! dcfamili ,late night showtime hollywood tonight ! dcfamily 
14,Blessed to see another day!!! 🙏🏽,Bradley Beal,2017-10-25,11.0,2.0,23.0,28.0,L ,0.5217391304347826,[],blessed see another day ! ! ! 🙏 ,bless see anoth day ! ! ! 🙏🏽 ,bless see another day ! ! ! 🙏 
15,Blessed to see another day! 🙏🏽,Bradley Beal,2017-10-26,3.0,0.0,3.0,5.0,W,1.0,[],blessed see another day ! 🙏 ,bless see anoth day ! 🙏🏽 ,bless see another day ! 🙏 
16,Gameday!!!,Bradley Beal,2017-10-27,2.0,0.0,7.0,4.0,L ,0.2857142857142857,[],gameday ! ! ! ,gameday ! ! ! ,gameday ! ! ! 
17,"Happy Birthday to the 1st born of the Beal Dynasty, my big brother @BigDealBeal88 !! One of the… https://t.co/DQuGoVDzNH",Bradley Beal,2017-10-28,3.0,0.0,0.0,1.0,L,0.0,[],happy birthday st born beal dynasty big brother ! ! one … ,happi birthday st born beal dynasti big brother ! ! one the… ,happy birthday st bear beal dynasty big brother ! ! one … 
18,Blessed to see another day! 🙏🏽,Bradley Beal,2017-10-28,3.0,0.0,5.0,6.0,L,0.6,[],blessed see another day ! 🙏 ,bless see anoth day ! 🙏🏽 ,bless see another day ! 🙏 
19,"Gameday, let’s get back on track Wiz!",Bradley Beal,2017-10-29,6.0,1.0,11.0,15.0,W ,0.5909090909090909,[],gameday lets get back track wiz ! ,gameday let get back track wiz ! ,gameday let get back track wiz ! 
20,Blessed to see another day!!!,Bradley Beal,2017-10-29,6.0,1.0,11.0,15.0,W ,0.5909090909090909,[],blessed see another day ! ! ! ,bless see anoth day ! ! ! ,bless see another day ! ! ! 
21,Nice!!!! 😂😂 https://t.co/2iFVoYwQH3,Bradley Beal,2017-10-31,3.0,0.0,9.0,5.0,L,0.3333333333333333,[],nice ! ! ! ! 😂 😂 ,nice ! ! ! ! 😂😂 ,nice ! ! ! ! 😂 😂 
22,Back at The Vault tonight! Let’s go D.C! #DCFamily https://t.co/jhjGZxlmJF,Bradley Beal,2017-11-01,12.0,6.0,25.0,40.0,L ,0.6,['DCFamily'],back vault tonight ! lets go d.c ! dcfamily ,back vault tonight ! let go d.c ! dcfamili ,back vault tonight ! let go d.c ! dcfamily 
23,Lock in! Gameday #DCFamily https://t.co/1xDaf9yhU2,Bradley Beal,2017-11-03,12.0,1.0,19.0,36.0,L ,0.6578947368421053,['DCFamily'],lock ! gameday dcfamily ,lock ! gameday dcfamili ,lock ! gameday dcfamily 
24,I️ do this for YOU! Gameday #DCFamily https://t.co/N8mjElh1cJ,Bradley Beal,2017-11-05,16.0,4.0,26.0,38.0,W ,0.6923076923076923,['DCFamily'],i️ ! gameday dcfamily ,i️ ! gameday dcfamili ,i️ ! gameday dcfamily 
25,Blessed to see another day!,Bradley Beal,2017-11-06,3.0,1.0,1.0,5.0,L,3.5,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
26,“The Zone” https://t.co/o05LuJXlhd,Bradley Beal,2017-11-07,8.0,3.0,20.0,23.0,L ,0.475,[],zone ,zone ,zone 
27,Blessed to see another day!,Bradley Beal,2017-11-07,8.0,3.0,20.0,23.0,L ,0.475,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
28,Thank you Veterans!!! 🙏🏽🇺🇸,Bradley Beal,2017-11-10,3.0,0.0,3.0,5.0,L,1.0,[],thank veterans ! ! ! 🙏 🇺 🇸 ,thank veteran ! ! ! 🙏🏽🇺🇸 ,thank veteran ! ! ! 🙏 🇺 🇸 
29,Love Yourz! 😝 https://t.co/5fG5WthcRi,Bradley Beal,2017-11-13,5.0,1.0,11.0,14.0,W ,0.5,[],love yourz ! 😝 ,love yourz ! 😝 ,love yourz ! 😝 
30,Blessed to see another day!,Bradley Beal,2017-11-13,5.0,1.0,11.0,14.0,W ,0.5,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
31,🤦🏽‍♂️Damn https://t.co/bbybQzj7Dw,Bradley Beal,2017-11-14,3.0,0.0,0.0,3.0,L,0.0,[],🤦 ♂ ️damn ,🤦🏽♂️damn ,🤦 ♂ ️damn 
32,Blessed to see another day !,Bradley Beal,2017-11-14,3.0,0.0,8.0,6.0,L,0.375,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
33,Great team win!!!,Bradley Beal,2017-11-14,3.0,0.0,9.0,7.0,L,0.3333333333333333,[],great team win ! ! ! ,great team win ! ! ! ,great team win ! ! ! 
34,F O C U S  👀 https://t.co/NB1nSaaKFz,Bradley Beal,2017-11-15,6.0,1.0,19.0,26.0,W ,0.3421052631578947,[],f c u 👀 ,f c u 👀 ,f c u 👀 
35,Best in the East? We have some work to do. Thoughts on our start in my new blog. https://t.co/MMCEjeFXjv,Bradley Beal,2017-11-15,6.0,1.0,19.0,26.0,W ,0.3421052631578947,[],best east ? work . thoughts start new blog . ,best east ? work . thought start new blog . ,well east ? work . thought start new blog . 
36,Prayers up! 🙏🏽 have a blessed day everyone!,Bradley Beal,2017-11-15,6.0,1.0,19.0,26.0,W ,0.3421052631578947,[],prayers ! 🙏 blessed day everyone ! ,prayer ! 🙏🏽 bless day everyon ! ,prayer ! 🙏 bless day everyone ! 
37,Blessed to see another day!,Bradley Beal,2017-11-16,3.0,1.0,6.0,5.0,W,0.5833333333333334,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
38,"ICYMI: My latest blog, on the first segment of the season, and why I know we can be much better: https://t.co/MMCEjeFXjv https://t.co/OQj5Pb7oGs",Bradley Beal,2017-11-17,9.0,5.0,22.0,26.0,L ,0.5227272727272727,[],icymi : latest blog first segment season know much better : ,icymi : latest blog first segment season know much better : ,icymi : late blog first segment season know much well : 
39,"Blessed to see another day! Make today count. Time is short, live it, love it make memories with those around you! Have a great day! 🙏🏽",Bradley Beal,2017-11-17,9.0,5.0,22.0,26.0,L ,0.5227272727272727,[],blessed see another day ! make today count . time short live love make memories around ! great day ! 🙏 ,bless see anoth day ! make today count . time short live love make memori around ! great day ! 🙏🏽 ,bless see another day ! make today count . time short live love make memory around ! great day ! 🙏 
40,“COMMON SENSE IS NOT THAT COMMON!” https://t.co/Z5m4raZ8wW,Bradley Beal,2017-11-18,3.0,0.0,7.0,5.0,W,0.4285714285714285,[],common sense common ! ,common sens common ! ,common sense common ! 
41,Blessed to see another day !,Bradley Beal,2017-11-18,3.0,0.0,2.0,0.0,W,1.5,[],blessed see another day ! ,bless see anoth day ! ,bless see another day ! 
42,To God be the glory. Blessed to see another day! Happy Sunday,Bradley Beal,2017-11-19,11.0,5.0,23.0,27.0,L ,0.5869565217391305,[],god glory . blessed see another day ! happy sunday ,god glori . bless see anoth day ! happi sunday ,god glory . bless see another day ! happy sunday 
