,Unnamed: 0,text,names,Date,FG,3P,FGA,PTS,Result,EFG
0,0,It’s time!!! The journey starts tonight! DC let’s lock down “The Vault” #DCFamily #DeathRowDC https://t.co/hOWyOFYJmw,Bradley Beal,2017-10-18,6.0,1.0,17.0,25.0,W ,0.3823529411764705
1,1,Blessed to see another day!! 🙏🏽,Bradley Beal,2017-10-18,6.0,1.0,17.0,25.0,W ,0.3823529411764705
2,2,Prayers up for Gordon Hayward !!! 🙏🏽,Bradley Beal,2017-10-18,6.0,1.0,17.0,25.0,W ,0.3823529411764705
3,3,The Vault was electric! We need that every night !! #DCfamily,Bradley Beal,2017-10-19,3.0,0.0,6.0,7.0,L,0.5
4,4,Great team win tonight Wiz!!,Bradley Beal,2017-10-19,3.0,0.0,4.0,6.0,L,0.75
5,5,Gamedayyy!!! 🙏🏽,Bradley Beal,2017-10-20,9.0,1.0,18.0,25.0,W ,0.5277777777777778
6,6,"S/o my young bull @JericoleHellems for committing to NC State, they got a good one. It’s time to grind bro #wolfpack",Bradley Beal,2017-10-21,3.0,0.0,8.0,6.0,W,0.375
7,7,Another day to perform His will🙏🏽,Bradley Beal,2017-10-21,3.0,1.0,2.0,0.0,W,1.75
8,8,"GREAT TEAM WIN!!! Once again The Vault was beyond electric! We love it, thank you! #DCFamily",Bradley Beal,2017-10-21,3.0,1.0,3.0,4.0,W,1.1666666666666667
9,9,😂😂 headset went flying https://t.co/SaDiTBn4py,Bradley Beal,2017-10-22,3.0,1.0,7.0,6.0,L,0.5
10,10,Happy Sunday! 🙏🏽,Bradley Beal,2017-10-22,3.0,0.0,2.0,2.0,L,1.5
11,11,Blessed to see another day! 🙏🏽,Bradley Beal,2017-10-23,8.0,1.0,17.0,20.0,W ,0.5
12,12,Via https://t.co/8pTVWkykO3: @WashWizards grind out big win in Denver to start road trip strong. https://t.co/h399PGHOWj,Bradley Beal,2017-10-24,3.0,1.0,5.0,5.0,L,0.7
13,13,Late night showtime in Hollywood tonight! #DCFamily https://t.co/rvdgplD1Ln,Bradley Beal,2017-10-25,11.0,2.0,23.0,28.0,L ,0.5217391304347826
14,14,Blessed to see another day!!! 🙏🏽,Bradley Beal,2017-10-25,11.0,2.0,23.0,28.0,L ,0.5217391304347826
15,15,Blessed to see another day! 🙏🏽,Bradley Beal,2017-10-26,3.0,0.0,3.0,5.0,W,1.0
16,16,Gameday!!!,Bradley Beal,2017-10-27,2.0,0.0,7.0,4.0,L ,0.2857142857142857
17,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
18,18,Blessed to see another day! 🙏🏽,Bradley Beal,2017-10-28,3.0,0.0,5.0,6.0,L,0.6
19,19,"Gameday, let’s get back on track Wiz!",Bradley Beal,2017-10-29,6.0,1.0,11.0,15.0,W ,0.5909090909090909
20,20,Blessed to see another day!!!,Bradley Beal,2017-10-29,6.0,1.0,11.0,15.0,W ,0.5909090909090909
21,21,Nice!!!! 😂😂 https://t.co/2iFVoYwQH3,Bradley Beal,2017-10-31,3.0,0.0,9.0,5.0,L,0.3333333333333333
22,22,Back at The Vault tonight! Let’s go D.C! #DCFamily https://t.co/jhjGZxlmJF,Bradley Beal,2017-11-01,12.0,6.0,25.0,40.0,L ,0.6
23,23,Lock in! Gameday #DCFamily https://t.co/1xDaf9yhU2,Bradley Beal,2017-11-03,12.0,1.0,19.0,36.0,L ,0.6578947368421053
